DATE,CSCICP03USM665S
1976-03-01,99.6354351078398
1976-04-01,99.6891041990848
1976-05-01,99.8635029379406
1976-06-01,100.086844709745
1976-07-01,100.24764622263
1976-08-01,100.257737086597
1976-09-01,100.177809650174
1976-10-01,100.086523660672
1976-11-01,100.039629224832
1976-12-01,100.04044832255
1977-01-01,100.091243482117
1977-02-01,100.196872923236
1977-03-01,100.31846963685
1977-04-01,100.40651337873
1977-05-01,100.417935391903
1977-06-01,100.366776099475
1977-07-01,100.259072213336
1977-08-01,100.090325148463
1977-09-01,99.89951403094
1977-10-01,99.7320277304744
1977-11-01,99.6246609442198
1977-12-01,99.5672854648867
1978-01-01,99.5296806498134
1978-02-01,99.4383725831146
1978-03-01,99.2813524884085
1978-04-01,99.2799211126993
1978-05-01,99.3074592468972
1978-06-01,99.2666952483864
